2.7495,4.0185,1
3.1038,3.2341,1
2.846,3.4507,1
1.6921,2.7472,0
3.4076,4.0857,1
2.0547,4.3826,0
1.8169,3.5307,0
2.4449,4.7872,1
2.477,3.7986,1
2.7722,2.5592,0
3.1077,3.486,1
2.2296,4.8014,0
3.5324,3.7008,1
4.3618,5.7775,0
2.1199,2.9157,0
3.701,4.4004,1
2.7413,3.8084,1
3.9092,4.2486,1
2.9656,3.1734,1
2.6913,2.123,0
3.329,3.477,1
3.3022,4.7338,1
3.2864,4.0382,1
1.9104,4.2851,0
3.1894,3.8103,1
2.2176,4.4209,1
2.3676,3.6221,1
2.0964,3.8399,1
2.4853,3.1162,0
2.9373,3.56,1
3.0257,3.6561,1
3.0113,4.0847,1
2.1894,2.7689,0
3.0183,3.1557,1
1.9777,2.9395,0
3.4335,4.101,1
3.2738,6.0981,0
2.896,4.3057,1
3.2988,4.5384,1
3.5415,4.2764,1
4.0859,6.0055,0
3.0648,4.9648,1
4.3101,4.3894,0
2.76,5.4729,0
3.0727,4.4548,1
2.6896,3.1738,1
2.9995,3.8575,1
4.2242,4.5944,0
4.6904,3.5969,0
1.6902,3.1941,0
2.8147,4.9815,1
3.3257,3.3062,1
2.8811,5.3832,0
2.0276,4.6697,0
2.1467,3.8711,1
3.4271,2.8621,0
1.4856,4.0364,0
4.7813,2.1875,0
1.7969,4.5337,0
3.1801,3.7825,1
3.6818,4.0871,1
2.9115,4.4063,1
2.38,4.223,1
2.6429,4.1411,1
1.7955,4.936,0
4.7998,4.6588,0
4.406,6.3489,0
2.4263,3.5336,1
2.9002,2.8592,0
3.0654,5.1027,0
3.121,5.2443,0
3.6813,4.2576,1
3.5856,3.19,1
2.3099,5.2495,0
3.2633,4.2109,1
1.3477,3.6247,0
4.4574,4.6091,0
3.8991,3.1095,0
3.1357,4.976,1
4.0328,1.4257,0
3.9068,3.4338,0
2.7739,4.3804,1
3.1596,3.1381,1
2.7921,2.7537,0
3.2422,3.6814,1
3.5153,4.3928,1
1.8994,5.0968,0
4.9282,3.2806,0
3.3776,2.5913,0
3.7632,2.9732,0
2.6833,2.0244,0
3.6212,2.4962,0
4.4387,4.9016,0
3.1541,2.1368,0
1.7513,2.9796,0
2.2842,3.5972,1
1.2781,5.2585,0
2.8113,4.0168,1
3.4037,3.4341,1
1.8725,4.9962,0
4.5611,4.779,0
3.1827,4.1656,1
3.3627,3.9315,1
1.1291,3.1724,0
2.5273,5.1069,0
2.0907,4.1498,1
2.9724,3.2217,1
3.6714,4.0736,1
2.4139,3.1738,0
3.4438,2.9919,0
3.6142,3.0738,0
3.2357,4.7445,1
2.6435,4.1145,1
2.2207,3.9108,1
1.2319,3.6456,0
3.4173,2.7439,0
2.0411,3.3457,0
1.6142,3.1136,0
1.7087,4.8341,0
2.5445,4.7092,1
3.6529,4.1485,1
3.8215,4.6428,0
3.718,4.3123,1
3.5793,4.9126,0
1.526,5.5341,0
4.2864,3.6487,0
3.2796,1.9742,0
3.1337,1.9222,0
1.8463,4.5549,0
2.7256,4.276,1
3.3029,5.0355,0
3.2473,4.8356,1
4.6295,3.4655,0
3.42,4.0864,1
2.754,5.207,0
2.2215,4.2584,1
3.0307,4.865,1
3.2876,5.9547,0
2.5894,4.3537,1
4,4.2408,0
3.9464,3.7655,1
4.1185,3.1998,0
4.2649,5.404,0
3.4201,4.1079,1
3.7098,3.5134,1
2.9358,4.981,1
2.724,4.0582,1
4.3654,2.7883,0
2.3401,4.9703,0
3.9602,4.6313,0
2.7926,2.2312,0
3.4922,3.0785,0
2.1241,3.7878,1
2.2437,5.028,0
1.9053,6.6519,0
3.7466,4.2093,1
3.4471,4.4184,1
2.8497,4.9785,1
3.5796,3.8784,1
5.0524,3.6822,0
3.2525,4.7577,1
3.6358,4.9803,0
3.1342,5.0736,0
5.0357,4.1063,0
4.4287,5.2527,0
2.3182,2.5459,0
4.0679,3.229,0
3.5651,4.2853,1
1.5094,2.6034,0
1.4759,4.0993,0
2.1033,5.0358,0
3.1468,3.9775,1
4.0498,3.9877,0
5.6631,3.9874,0
3.1747,4.236,1
5.1247,3.1218,0
2.7964,1.8186,0
1.6508,4.2064,0
3.2434,3.4672,1
2.1002,3.4572,0
3.3533,3.514,1
2.5826,2.221,0
2.1883,3.0056,0
3.5455,5.3322,0
3.174,3.8834,1
2.4402,3.46,1
1.9706,3.2762,0
2.9659,3.6949,1
2.9587,4.8315,1
2.9022,4.3662,1
5.6523,4.3682,0
3.1038,3.3205,1
1.7753,2.7348,0
3.2132,4.3157,1
3.8351,4.3043,1
1.4888,4.371,0
2.7513,4.3769,1
2.7541,3.065,1
2.557,3.4557,1
2.5268,5.0531,0
2.1859,3.036,0
4.2759,4.203,0
2.5855,3.2088,1
2.4782,4.1627,1
3.6177,4.2679,1
1.6358,5.9143,0
2.0937,4.3406,1
1.2636,4.508,0
4.2224,4.4262,0
3.5034,5.163,0
4.1326,2.8608,0
4.2929,3.8971,0
3.5974,4.6176,1
3.6318,4.6927,1
4.6315,5.2429,0
1.7853,2.7122,0
2.8509,3.5282,1
3.498,2.3884,0
2.0982,2.5441,0
3.6459,3.3648,1
2.203,3.9736,1
3.2189,3.9001,1
2.5448,5.3953,0
3.2926,4.5129,1
1.997,4.6454,0
4.2899,4.7656,0
3.1285,4.7762,1
